Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-SMD_CR2032-3V,1,3V,C70373
C1,C0603,1,100nF,C38141
D1,XS-IR04A05-802,1,LED_Ir,C396649
"D2, D3, D4, D5, D6",LED0603-RD_RED,5,LED_Red,C965799
"J1, J2",TestPoint_Pad_D2.0mm,2,EXTCLK,
J3,TestPoint_Pad_D1.0mm,1,PB0,
J4,TestPoint_Pad_D1.0mm,1,PB1,
J5,TestPoint_Pad_D2.0mm,1,UPDI / RESET,
Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,SI2302_C2891732,C2891732
"R2, R3, R4, R5, R6, R7",0603,6,560,C5140946
R8,0603,1,1M,C5140946
SW1,SW-TH_MSK12C02,1,ON/OFF,C2681568
TP1,TestPoint_Pad_4.0x4.0mm,1,Capacitive Pad,
U1,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,ATtiny414-SS,C189365
